Threshold,True Positives,True Negatives,False Positives,False Negatives,Total Positives,Total Negatives,Precision,Recall,Accuracy
Threshold_0.1,66054,445545,10943,2488786,2554840,456488,0.8578775796459602,0.025854456639163314,0.16989148973476154
Threshold_0.2,739623,332962,123526,1815217,2554840,456488,0.8568891350160864,0.28949875530365893,0.3561833848720565
Threshold_0.3,1925105,128127,328361,629735,2554840,456488,0.8542862417271883,0.7535129401449797,0.6818360537277905
Threshold_0.4,2467088,20360,436128,87752,2554840,456488,0.8497776259155364,0.965652643609776,0.8260302431352546
